chaine,nom film,date de diffusion,2023,nationalité2,rang de diffusion,téléspectateurs (millions),part d'audience (%)
W9,AVENTURIERS DE L'ARCHE PERDUE (LES),2023-11-06 00:00:00,2023,ETATS UNIS,20,1292698,"5,9"
W9,EVASION,2023-12-04 00:00:00,2023,ETATS UNIS,10,1233939,"5,9"
W9,INDIANA JONES ET LA DERNIERE CROISADE,2023-11-20 00:00:00,2023,ETATS UNIS,16,1233939,"5,5"
W9,MON GARCON,2023-03-12 00:00:00,2023,FRANCE,3,1207500,6
W9,PROPOSITION (LA),2023-01-12 00:00:00,2023,ETATS UNIS,12,1207500,"5,9"
W9,DEADPOOL,2023-04-03 00:00:00,2023,ETATS UNIS,4,1207500,"5,8"
W9,RED 2,2023-10-09 00:00:00,2023,ETATS UNIS,8,1175180,"5,5"
6ter,VOLCANO,2023-07-04 00:00:00,2023,ETATS UNIS,14,900000,"4,7"
6ter,CROCODILE DUNDEE,2023-06-14 00:00:00,2023,AUSTRALIE,22,859000,"4,5"
6ter,GHOST RIDER,2023-11-29 00:00:00,2023,ETATS UNIS,17,822626,"4,1"
6ter,CENDRILLON,2023-10-25 00:00:00,2023,GRANDE BRETAGNE,6,822626,"3,6"
6ter,CROCODILE DUNDEE 2,2023-06-21 00:00:00,2023,AUSTRALIE,21,764000,"4,4"
6ter,DES HOMMES D'HONNEUR,2023-10-17 00:00:00,2023,ETATS UNIS,14,763867,"3,8"
6ter,BEAUX-PARENTS,2023-10-18 00:00:00,2023,FRANCE,4,763867,"3,4"
6ter,MARY A TOUT PRIX,2023-04-25 00:00:00,2023,ETATS UNIS,15,747500,"3,5"
6ter,TRANSFORMERS : L'AGE DE L'EXTINCTION,2023-06-04 00:00:00,2023,ETATS UNIS,11,707000,"4,5"
6ter,FLIC DE BEVERLY HILLS 2 (LE),2023-09-20 00:00:00,2023,ETATS UNIS,27,705108,"3,2"
Gulli,QUI VEUT LA PEAU DE ROGER RABBIT ?,2023-12-01 00:00:00,2023,ETATS UNIS,15,940144,"4,5"
Gulli,PAT' PATROUILLE : LE FILM (LA),2023-10-10 00:00:00,2023,ETATS UNIS,1,705108,"3,3"
Gulli,MATILDA,2023-01-20 00:00:00,2023,ETATS UNIS,6,690000,"3,5"
Gulli,TROLLS 2 TOURNEE MONDIALE (LES),2023-10-26 00:00:00,2023,ETATS UNIS,1,646349,3
Gulli,HOTEL TRANSYLVANIE 2,2023-10-31 00:00:00,2023,ETATS UNIS,8,646349,"2,9"
Gulli,"SHREK 4, IL ETAIT UNE FIN",2023-03-17 00:00:00,2023,ETATS UNIS,7,632500,"2,9"
Gulli,BUMBLEBEE,2023-12-29 00:00:00,2023,ETATS UNIS,3,587590,"3,1"
Gulli,CROCODILE DUNDEE 2,2023-11-17 00:00:00,2023,AUSTRALIE,22,587590,"2,8"
Gulli,ZOOTOPIE,2023-06-23 00:00:00,2023,ETATS UNIS,4,556000,"3,5"
